Latitude: 40.0066665, Longitude: -105.2631725, Altitude: 1623.031
Latitude: 40.0066662, Longitude: -105.2631758, Altitude: 1623.41
Latitude: 40.0066653, Longitude: -105.2631782, Altitude: 1623.589
Latitude: 40.006663599999996, Longitude: -105.26317949999999, Altitude: 1624.0520000000001
Latitude: 40.0066614, Longitude: -105.2631804, Altitude: 1625.171
Latitude: 40.006659899999995, Longitude: -105.2631815, Altitude: 1625.536
Latitude: 40.0066621, Longitude: -105.2631811, Altitude: 1626.027
Latitude: 40.0066643, Longitude: -105.263184, Altitude: 1626.579
Latitude: 40.0066656, Longitude: -105.26318789999999, Altitude: 1626.6380000000001
Latitude: 40.0066664, Longitude: -105.2631885, Altitude: 1627.207
Latitude: 40.0066664, Longitude: -105.2631885, Altitude: 1627.717
Latitude: 40.0066645, Longitude: -105.26319, Altitude: 1628.176
Latitude: 40.0066633, Longitude: -105.2631895, Altitude: 1628.564
Latitude: 40.006662299999995, Longitude: -105.2631912, Altitude: 1629.041
Latitude: 40.0066631, Longitude: -105.2631931, Altitude: 1629.454
Latitude: 40.006665399999996, Longitude: -105.2631947, Altitude: 1629.7450000000001
Latitude: 40.0066674, Longitude: -105.2631949, Altitude: 1630.086
Latitude: 40.006669699999996, Longitude: -105.263193, Altitude: 1629.835
Latitude: 40.006670299999996, Longitude: -105.26319199999999, Altitude: 1630.1490000000001
Latitude: 40.0066707, Longitude: -105.2631933, Altitude: 1630.955
Latitude: 40.0066724, Longitude: -105.2631949, Altitude: 1631.172
Latitude: 40.0066741, Longitude: -105.26319679999999, Altitude: 1631.463
Latitude: 40.006676299999995, Longitude: -105.2631991, Altitude: 1631.42
Latitude: 40.006676299999995, Longitude: -105.2631984, Altitude: 1631.922
Latitude: 40.0066768, Longitude: -105.2631983, Altitude: 1632.051
Latitude: 40.0066799, Longitude: -105.2631985, Altitude: 1632.0810000000001
Latitude: 40.0066807, Longitude: -105.2631974, Altitude: 1632.7920000000001
Latitude: 40.0066802, Longitude: -105.2632007, Altitude: 1633.285
Latitude: 40.0066805, Longitude: -105.26320369999999, Altitude: 1633.268
Latitude: 40.0066804, Longitude: -105.2632076, Altitude: 1633.304
Latitude: 40.0066811, Longitude: -105.2632112, Altitude: 1633.017
Latitude: 40.0066835, Longitude: -105.2632113, Altitude: 1632.625
Latitude: 40.0066835, Longitude: -105.2632132, Altitude: 1632.183
Latitude: 40.006679399999996, Longitude: -105.26321779999999, Altitude: 1631.8410000000001
Latitude: 40.0066772, Longitude: -105.26322069999999, Altitude: 1631.818
Latitude: 40.0066737, Longitude: -105.2632252, Altitude: 1631.347
Latitude: 40.0066711, Longitude: -105.2632282, Altitude: 1631.243
Latitude: 40.0066712, Longitude: -105.2632366, Altitude: 1631.315
Latitude: 40.0066719, Longitude: -105.2632469, Altitude: 1631.509
Latitude: 40.006670799999995, Longitude: -105.2632545, Altitude: 1631.984
Latitude: 40.0066677, Longitude: -105.26326089999999, Altitude: 1632.19
Latitude: 40.0066673, Longitude: -105.26325849999999, Altitude: 1632.827
Latitude: 40.0066674, Longitude: -105.263257, Altitude: 1633.118
Latitude: 40.006667199999995, Longitude: -105.26325879999999, Altitude: 1633.964
Latitude: 40.0066656, Longitude: -105.2632586, Altitude: 1634.1100000000001
Latitude: 40.006664099999995, Longitude: -105.263256, Altitude: 1634.454
Latitude: 40.0066676, Longitude: -105.263261, Altitude: 1635.04
Latitude: 40.006671399999995, Longitude: -105.2632682, Altitude: 1635.021
Latitude: 40.0066747, Longitude: -105.26326499999999, Altitude: 1635.519
Latitude: 40.0066789, Longitude: -105.2632569, Altitude: 1635.772
Latitude: 40.006679999999996, Longitude: -105.2632505, Altitude: 1636.03
Latitude: 40.0066841, Longitude: -105.2632417, Altitude: 1636.5720000000001
Latitude: 40.0066784, Longitude: -105.26324849999999, Altitude: 1636.347
Latitude: 40.0066816, Longitude: -105.263246, Altitude: 1635.098
Latitude: 40.0066882, Longitude: -105.2632356, Altitude: 1635.547
Latitude: 40.0066913, Longitude: -105.2632364, Altitude: 1635.839
Latitude: 40.006692699999995, Longitude: -105.2632397, Altitude: 1635.847
Latitude: 40.0066979, Longitude: -105.2632411, Altitude: 1635.837
Latitude: 40.006703, Longitude: -105.263241, Altitude: 1636.152
Latitude: 40.0067028, Longitude: -105.263246, Altitude: 1635.253
Latitude: 40.0067015, Longitude: -105.2632527, Altitude: 1633.679
Latitude: 40.0066993, Longitude: -105.2632629, Altitude: 1632.431
Latitude: 40.0066962, Longitude: -105.2632769, Altitude: 1631.561
Latitude: 40.0066912, Longitude: -105.2632907, Altitude: 1630.97
Latitude: 40.0066868, Longitude: -105.2633063, Altitude: 1629.008
Latitude: 40.006686099999996, Longitude: -105.2633149, Altitude: 1627.618
Latitude: 40.0066985, Longitude: -105.2632979, Altitude: 1627.1870000000001
Latitude: 40.006685499999996, Longitude: -105.26332289999999, Altitude: 1625.7830000000001
Latitude: 40.006677499999995, Longitude: -105.2633439, Altitude: 1624.7640000000001
Latitude: 40.0066749, Longitude: -105.2633525, Altitude: 1625.0330000000001
Latitude: 40.006671499999996, Longitude: -105.2633606, Altitude: 1625.327
Latitude: 40.006664199999996, Longitude: -105.2633821, Altitude: 1625.175
Latitude: 40.0066606, Longitude: -105.26340189999999, Altitude: 1626.7060000000001
Latitude: 40.0066572, Longitude: -105.2634131, Altitude: 1627.848
Latitude: 40.006655099999996, Longitude: -105.2634104, Altitude: 1628.4170000000001
Latitude: 40.0066579, Longitude: -105.263403, Altitude: 1628.0900000000001
Latitude: 40.0066582, Longitude: -105.2634021, Altitude: 1628.383
Latitude: 40.0066584, Longitude: -105.2634071, Altitude: 1629.068
Latitude: 40.0066579, Longitude: -105.2634162, Altitude: 1629.159
Latitude: 40.0066564, Longitude: -105.26341989999999, Altitude: 1628.811
Latitude: 40.006653, Longitude: -105.26342389999999, Altitude: 1628.246
Latitude: 40.006653799999995, Longitude: -105.2634257, Altitude: 1628.47
Latitude: 40.0066487, Longitude: -105.26343609999999, Altitude: 1628.694
Latitude: 40.0066426, Longitude: -105.2634465, Altitude: 1628.481
Latitude: 40.006638699999996, Longitude: -105.2634576, Altitude: 1628.2740000000001
Latitude: 40.0066327, Longitude: -105.2634571, Altitude: 1628.2250000000001
Latitude: 40.006623499999996, Longitude: -105.2634583, Altitude: 1627.843
Latitude: 40.006625299999996, Longitude: -105.2634642, Altitude: 1627.8
Latitude: 40.006625899999996, Longitude: -105.26346799999999, Altitude: 1628.1390000000001
Latitude: 40.006638099999996, Longitude: -105.2634664, Altitude: 1628.711
Latitude: 40.0066529, Longitude: -105.2634588, Altitude: 1628.894
Latitude: 40.0066616, Longitude: -105.2634617, Altitude: 1628.568
Latitude: 40.0066674, Longitude: -105.2634688, Altitude: 1628.721
Latitude: 40.006673, Longitude: -105.26347109999999, Altitude: 1628.131
Latitude: 40.006671399999995, Longitude: -105.26346269999999, Altitude: 1628.471
Latitude: 40.0066661, Longitude: -105.263452, Altitude: 1629.157
Latitude: 40.0066576, Longitude: -105.2634496, Altitude: 1629.156
Latitude: 40.006657, Longitude: -105.26345529999999, Altitude: 1628.963
Latitude: 40.006662899999995, Longitude: -105.2634571, Altitude: 1628.655
Latitude: 40.0066677, Longitude: -105.2634595, Altitude: 1627.231
Latitude: 40.0066682, Longitude: -105.2634681, Altitude: 1625.842
Latitude: 40.0066728, Longitude: -105.263477, Altitude: 1625.069
Latitude: 40.006676999999996, Longitude: -105.263476, Altitude: 1624.7450000000001
Latitude: 40.0066902, Longitude: -105.263466, Altitude: 1624.751
Latitude: 40.0067002, Longitude: -105.2634575, Altitude: 1624.748
Latitude: 40.006710999999996, Longitude: -105.2634561, Altitude: 1623.568
Latitude: 40.006715799999995, Longitude: -105.26345649999999, Altitude: 1622.6480000000001
Latitude: 40.00672, Longitude: -105.2634592, Altitude: 1621.855
Latitude: 40.006721399999996, Longitude: -105.2634619, Altitude: 1621.55
Latitude: 40.006721899999995, Longitude: -105.2634696, Altitude: 1621.3120000000001
Latitude: 40.0067276, Longitude: -105.2634653, Altitude: 1621.9950000000001
Latitude: 40.0067295, Longitude: -105.2634652, Altitude: 1623.875
Latitude: 40.0067358, Longitude: -105.2634638, Altitude: 1623.635
